product_group,product_class,item_code,product_name,vendor_name,mrp,barcode
Shine,Wall tap,70788,BIB COCK S1-STAR (Cream),RPL,90,70788
Prominent,Food Cont-Prominent,86820,Container Box with Lid 11 cm -Trans Pink,DPL,49,86820
Regal,METAL BED(BDH),812091,METAL BED-BDH-202-2-1-66(3PART),BBML(F),"11,570",812091
Prestige,Short Stool-Prestige,86043,Stool Short - Sandal Wood,DPL,150,86043
Best Buy,General Household L,903919,Customized Dolna,BBUY,"27,200",903919
Best Buy,General Household L,903920,Customized Bed (Wood),BBUY,"28,400",903920
Goodluck,FILE,920433,Good Luck Zipper File - FC,DPLS,30,842251152998
Goodluck,KIDS ITEM,920434,Good Luck Pencil Box - Large-Trans,DPLS,50,842251153001
Power,Clearance Sales-2,920939,"3.5"" Fancy Glass - Beauty",MLMN,80,845944073624
Best Buy,Life Style (Yiwu),903741,UMBRELLA-YR2201-IMP,BBUY,200,903741
Best Buy,Life Style (Yiwu),903742,UMBRELLA-YR3201-IMP,BBUY,425,903742
Best Buy,Life Style (Yiwu),903743,UMBRELLA-YR3202-IMP,BBUY,425,903743
Winner,Kitchen ware,920451,Smart Bottle Cleaner-WN,DPLS,20,845944069733
Power,Color - Melamine,920910,"8"" Vegetable Bowl-Bubble",MLMN,100,845944070081
Promising,Cabinet-Promising,89900,Multipurpose Cabinet - Green,DPL,"3,700",845944010902
Pride,PS Jug-Pride,95383,Atlanta Jug 1.5 L - Trans,DPL,200,845944092397
Pioneer,Non Moving-Pioneer,86696,Slim Chair (Ribbon Flower) - Tulip Green,DPL,500,842251120089
Power,Color - Melamine,920912,"Vegetable Bowl 7"" - Classic",MLMN,70,845944070104
Goodluck,Baby Items,920387,Pogo Water Bottle-550 ML (Goodluck),DPLS,100,920387
Goodluck,Baby Items,920392,Simon Water Bottle-400 ML (Goodluck),DPLS,90,845944070092
Goodluck,Baby Items,920393,Dora Tiffin Box -Good Luck,DPLS,85,920393
Vision-RAC,PG VSN Refrigeration,802829,PG Vision Glass Door Refrigerator Vis - 190TG(RED),DPLE,"28,200",802829
Vision-Style,VS Microwave Oven,94843,Vision Microwave Oven - 20 Ltr (S5),PIP(E),"7,450",94843
Winner,Winner -Pressure Coo,81116,Winner Pressure Cooker 5L,DPLS,"1,755",842251119823
Power,Clearance Sales-2,92300,Melamine - Lunch Plate with Lid,MLMN,400,845944067920
Regal,LB READING TABLE,812166,Reading Table For Kids(N),BBML(F),"9,100",812166
Regal,WOODEN KIDS ITEM,812167,Reading Chair For Kids(N),BBML(F),"5,000",812167
Topper,Bright Eco. Kolosh,805175,Economy Bright Kolosh - 20 (BS),RFL,330,8051750000002
Topper,Bright Eco. Kolosh,805176,Economy Bright Kolosh - 21 (BS),RFL,410,8051760000009
Power,Clearance Sales-2,92286,"6"" Curry Bowl -Lilac",MLMN,115,845944067517
Goodluck,Export-Stationery,920340,Refill Pen Forever-Black 25 - Pcs Jar,DPLS,125,920340
Goodluck,Export-Stationery,920341,Classy Gel Pen - 25 Pcs Jar,DPLS,275,920341
Best Buy,Toys and sports (Local,903772,TENNIS BALL-IMP,BBUY,20,903772
Sonic,BLZ MULTI PLUG & ADAPTER,706309,Multi extension cord with USB (BLZ-706309),RPLE,855,706309
Best Buy,Life Style (Yiwu),903746,UMBRELLA-YR3302-IMP,BBUY,425,903746
Best Buy,General Household I,903747,PLATE-EQ1101-3-IMP,BBUY,155,903747
Best Buy,Glassware (Local),903748,GLASS TUMBLER -ES1137-IMP,BBUY,80,903748
Best Buy,General Household I,903749,ROUND DUSTBIN BIG-IMP,BBUY,175,903749
