product_group,product_class,item_code,product_name,vendor_name,mrp,barcode
Shine,Wall tap,70788,BIB COCK S1-STAR (Cream),RPL,90,70788
Prominent,Food Cont-Prominent,86820,Container Box with Lid 11 cm -Trans Pink,DPL,49,86820
Regal,METAL BED(BDH),812091,METAL BED-BDH-202-2-1-66(3PART),BBML(F),"11,570",812091
Prestige,Short Stool-Prestige,86043,Stool Short - Sandal Wood,DPL,150,86043
Best Buy,General Household L,903919,Customized Dolna,BBUY,"27,200",903919
Best Buy,General Household L,903920,Customized Bed (Wood),BBUY,"28,400",903920
Goodluck,FILE,920433,Good Luck Zipper File - FC,DPLS,30,842251152998
Goodluck,KIDS ITEM,920434,Good Luck Pencil Box - Large-Trans,DPLS,50,842251153001
Power,Clearance Sales-2,920939,"3.5"" Fancy Glass - Beauty",MLMN,80,845944073624
Best Buy,Life Style (Yiwu),903741,UMBRELLA-YR2201-IMP,BBUY,200,903741
